/Users/qpwoeirut/CompetitiveProgramming/AdventOfCode/venv/bin/pypy3 /Users/qpwoeirut/CTF/CTFs/DownUnderCTF/2024/crypto/my_array_generator/solve_my_array_generator.py
790 491 1e_??_fa_04
789 491 5c_??_1b_a9
788 491 57_??_ee_39
787 491 56_??_e0_19
786 491 9b_??_2e_fd
780 492 b2_0a_1a_35
779 492 7d_9b_9e_8c
778 492 29_27_34_c8
777 492 fa_27_cd_a3
776 492 3c_3b_09_d7
775 492 21_b7_85_25
774 492 81_9a_da_f1
773 492 53_78_2d_ba
772 492 a7_e9_d8_2a
771 492 08_6f_4e_ed
770 492 5c_32_29_dd
769 492 7f_87_2b_d1
768 492 b9_85_dd_2e
767 492 54_bc_55_bb
766 492 f4_70_38_1b
765 492 87_43_53_2f
764 492 ea_1c_c2_e0
763 492 75_f4_d0_9e
762 492 8a_ea_1d_ea
761 492 85_5f_19_8d
760 492 7a_be_2b_f9
759 492 75_f4_d0_61
758 492 8a_15_e2_15
757 492 d4_3b_7e_6a
756 492 b2_f5_e5_ca
755 492 d3_ff_06_94
754 492 e1_93_05_04
753 492 5c_d3_1b_56
752 492 57_42_ee_c6
751 492 a9_5f_1f_e6
750 492 64_d2_2e_02
749 492 87_bc_53_d0
748 492 ea_e3_3d_e0
747 492 24_6f_b7_79
746 492 42_a1_d3_d9
745 492 72_cf_57_9f
744 492 26_73_fd_24
743 492 a4_e8_63_57
742 492 04_db_f1_f7
741 492 77_e8_65_3c
740 492 1a_b7_0b_0c
739 492 2b_3b_7e_6a
738 492 4d_0a_e5_ca
737 492 d3_ff_f9_94
736 492 e1_93_05_04
735 492 f2_48_7c_4e
734 492 60_f6_20_0a
733 492 f0_ab_36_13
732 492 0f_54_c9_ec
731 492 0f_ab_36_ec
730 492 f0_54_c9_13
729 492 a1_cf_51_0b
728 492 c7_1f_f8_20
727 492 07_c4_87_fe
726 492 ac_99_e0_ce
725 492 8f_2c_e2_3d
724 492 b6_2e_eb_c2
723 492 0a_8c_04_4f
722 492 33_90_3f_3b
721 492 2e_1c_b3_36
720 492 8e_31_ec_e2
719 492 5c_2c_e4_56
718 492 a8_42_11_c6
717 492 56_a0_e0_19
716 492 64_d2_d1_fd
715 492 29_27_34_c8
714 492 22_57_0c_d3
713 492 2c_ff_06_6b
712 492 e1_93_fa_fb
711 492 a3_2c_1b_56
710 492 a8_42_ee_c6
709 492 f8_c4_87_fe
679 491 ??_64_67_18
677 491 ??_0b_29_f5
675 492 26_73_fd_24
674 492 d2_fc_3a_3f
673 492 72_cf_57_9f
672 492 d9_8c_fd_db
671 492 f5_8c_fb_b0
670 492 cc_6f_c0_c4
669 492 7f_78_2b_d1
785 490 78_??_ac_d0
784 490 15_??_3d_1f
783 490 8a_??_d0_61
782 490 75_??_1d_ea
781 490 d4_??_81_95
708 491 ac_66_1f_31
707 490 de_48_??_25
705 490 fd_1c_??_5d
703 491 00_ff_00_ff
699 490 f7_6f_??_12
697 491 d1_e3_b3_c9
696 491 8e_ce_13_1d
695 491 0d_48_83_4e
694 491 9f_f6_20_f5
693 491 a1_cf_51_0b
692 491 c7_1f_07_df
691 491 f8_c4_87_01
690 491 ac_99_1f_31
689 491 8f_2c_e2_3d
688 491 49_2e_eb_3d
687 491 a4_17_9c_57
683 490 ??_54_cf_78
681 490 ??_1c_b5_a2
680 490 ??_a2_e9_19
678 490 ??_4b_ce_cc
676 490 ??_79_18_ee
668 491 b9_85_dd_d1
323 490 85_5f_??_72
321 490 75_f4_??_9e
319 491 7a_5f_19_8d
318 491 85_41_2b_06
317 491 24_6f_b7_79
316 491 42_5e_2c_d9
315 491 72_cf_a8_60
706 489 7e_65_??_0e
704 489 6f_a2_??_e6
702 490 ff_00_00_00
701 489 ae_64_??_18
700 489 37_4b_??_33
698 489 a3_cd_??_22
686 490 04_db_f1_f7
685 489 ??_73_02_24
684 489 ??_fc_c5_3f
682 489 ??_38_33_e8
667 489 fa_??_32_a3
654 490 9b_2d_2e_02
653 490 87_bc_53_2f
652 490 15_1c_3d_e0
651 490 db_90_48_86
650 490 bd_a1_d3_26
649 490 72_cf_a8_9f
648 490 26_73_fd_db
647 490 a4_17_9c_57
646 490 04_db_f1_f7
645 490 88_e8_65_3c
644 490 1a_b7_f4_0c
643 490 2b_3b_7e_95
642 490 4d_f5_1a_35
641 490 d3_ff_f9_94
640 490 e1_6c_fa_fb
639 490 0d_b7_83_b1
638 490 60_f6_df_0a
637 490 f0_54_c9_13
636 490 f0_ab_36_13
635 490 f0_ab_c9_ec
634 490 f0_ab_36_ec
633 490 a1_cf_51_f4
632 490 38_e0_07_20
631 490 07_c4_78_fe
630 490 53_66_e0_ce
629 490 8f_d3_1d_c2
628 490 49_2e_eb_c2
627 490 0a_8c_fb_b0
626 490 33_90_3f_c4
625 490 2e_e3_4c_36
624 490 8e_31_13_e2
623 490 a3_d3_e4_a9
622 490 a8_42_ee_39
621 490 56_a0_e0_e6
620 490 64_d2_2e_fd
619 490 d6_27_34_c8
618 490 22_a8_0c_d3
617 490 d3_00_06_6b
616 490 1e_93_fa_fb
615 490 a3_2c_1b_56
614 490 a8_bd_ee_c6
613 490 f8_c4_87_fe
612 490 ac_99_1f_ce
611 490 21_b7_7a_da
610 490 81_65_25_0e
609 490 02_1c_4a_5d
608 490 6f_5d_e9_e6
607 490 00_00_00_ff
606 490 00_00_00_ff
605 490 ae_64_67_e7
604 490 37_4b_31_33
603 490 a6_0b_d6_f5
602 490 6b_86_18_ee
601 490 88_e8_65_3c
600 490 1a_b7_0b_f3
599 490 85_a0_e6_72
598 490 85_be_d4_f9
597 490 24_90_b7_79
596 490 bd_a1_d3_d9
595 490 72_30_57_60
594 490 26_73_02_24
593 490 0a_8c_fb_4f
592 490 cc_6f_c0_3b
591 490 7f_87_d4_d1
590 490 b9_7a_dd_2e
589 490 fa_d8_32_5c
588 490 c3_3b_f6_d7
587 490 8f_2c_1d_3d
586 490 49_d1_14_3d
585 490 5b_e8_9c_a8
579 489 02_e3_??_a2
577 489 51_9b_??_e7
575 490 59_0b_29_f5
327 489 a4_e8_??_57
325 489 77_17_??_c3
324 489 1a_48_??_0c
322 489 85_be_??_f9
320 489 8a_ea_??_ea
314 490 26_8c_fd_24
313 489 ??_8c_fb_4f
311 489 ??_1c_b3_36
309 489 ??_d3_e4_a9
307 489 ??_a0_1f_e6
305 489 ??_d8_cb_37
303 490 2c_00_06_6b
302 490 1e_6c_05_04
301 490 5c_d3_1b_56
666 488 3c_??_09_d7
665 488 70_??_1d_3d
664 488 49_??_14_3d
659 488 f2_??_7c_b1
658 488 9f_??_20_f5
657 488 a1_??_51_f4
656 488 38_??_07_20
655 488 56_??_1f_e6
584 489 fb_24_f1_f7
583 488 26_8c_??_db
581 488 23_54_??_87
580 488 ee_c7_??_e8
578 488 90_a2_??_e6
576 488 37_4b_??_33
574 489 94_86_18_ee
573 488 26_8c_??_db
571 489 dc_ab_cf_78
570 489 11_38_33_17
569 489 ac_87_d2_45
568 489 58_e9_27_d5
567 489 59_0b_d6_f5
566 489 6b_86_18_ee
565 489 77_e8_65_3c
564 489 e5_b7_f4_0c
563 489 2b_3b_81_6a
329 488 8d_30_??_9f
328 488 26_73_??_24
326 488 04_db_??_08
312 488 ??_90_c0_c4
310 488 ??_ce_13_e2
308 488 ??_bd_11_c6
306 488 ??_2d_2e_02
304 488 ??_57_0c_d3
300 489 a8_bd_11_c6
299 488 ??_3b_87_01
297 489 de_48_85_25
663 487 f5_??_fb_b0
662 487 33_??_c0_c4
661 487 2e_??_4c_c9
660 487 8e_??_13_e2
582 487 d2_03_??_c0
572 487 d2_03_??_c0
562 488 4d_f5_1a_ca
561 487 ??_64_61_73
559 488 fa_27_cd_a3
528 488 8e_ce_13_e2
527 488 5c_d3_1b_56
526 488 a8_bd_11_c6
525 488 a9_a0_e0_e6
524 488 9b_2d_d1_02
523 488 d6_d8_cb_c8
522 488 dd_57_f3_d3
521 488 d3_ff_06_6b
520 488 1e_6c_05_04
519 488 a3_d3_1b_a9
518 488 57_42_11_39
517 488 f8_3b_87_fe
516 488 53_99_1f_ce
515 488 de_b7_7a_da
514 488 81_65_25_f1
513 488 fd_1c_4a_5d
512 488 6f_5d_16_e6
511 488 00_ff_00_ff
510 488 00_ff_00_ff
509 488 51_64_98_18
508 488 37_b4_31_cc
507 488 a6_0b_29_f5
506 488 6b_86_e7_ee
505 488 88_e8_65_3c
504 488 1a_b7_f4_f3
503 488 85_5f_19_8d
502 488 7a_41_2b_06
501 488 db_6f_b7_79
500 488 bd_a1_2c_26
499 488 8d_cf_57_60
498 488 26_73_fd_db
497 488 0a_73_fb_4f
496 488 33_90_3f_c4
495 488 7f_78_d4_d1
494 488 46_7a_dd_d1
493 488 fa_d8_32_5c
492 488 3c_c4_f6_28
491 488 70_d3_e2_3d
490 488 49_2e_14_3d
489 488 a4_17_63_a8
488 488 fb_24_f1_f7
487 488 d9_8c_02_24
486 488 d2_fc_c5_c0
485 488 dc_54_30_87
484 488 11_38_33_e8
483 488 fd_1c_4a_a2
482 488 6f_a2_16_19
481 488 51_64_98_e7
480 488 c8_4b_31_33
479 488 f7_90_b1_ed
478 488 5c_32_29_dd
477 488 2e_e3_b3_c9
476 488 71_31_13_e2
475 488 0d_b7_83_b1
474 488 9f_09_20_0a
473 488 5e_30_ae_f4
472 488 38_1f_07_20
471 488 a9_5f_e0_e6
470 488 64_2d_2e_fd
469 488 78_43_53_d0
468 488 ea_e3_3d_e0
467 488 75_f4_d0_61
466 488 75_ea_e2_15
465 488 85_5f_e6_8d
464 488 7a_be_2b_06
463 488 75_0b_2f_9e
462 488 75_ea_e2_ea
461 488 2b_3b_81_6a
402 488 d9_73_02_24
401 488 f5_73_fb_b0
400 488 33_90_3f_c4
399 488 7f_78_d4_2e
398 488 b9_7a_22_d1
397 488 fa_27_32_a3
396 488 c3_3b_09_28
395 488 70_2c_1d_3d
394 488 49_2e_eb_3d
393 488 5b_e8_63_57
392 488 04_db_0e_08
391 488 26_8c_fd_24
390 488 d2_03_3a_c0
389 488 23_54_cf_87
388 488 11_38_cc_17
387 488 02_e3_4a_a2
386 488 6f_5d_16_19
385 488 51_9b_98_e7
384 488 37_b4_ce_33
383 488 08_6f_4e_ed
382 488 a3_32_d6_22
381 488 2e_e3_4c_36
380 488 71_31_13_e2
379 488 0d_b7_7c_b1
378 488 60_f6_20_f5
377 488 5e_30_51_f4
376 488 c7_e0_07_20
375 488 56_a0_e0_19
374 488 9b_d2_2e_fd
373 488 87_bc_53_2f
372 488 ea_e3_c2_1f
371 488 8a_0b_2f_61
370 488 8a_ea_e2_ea
369 488 7a_a0_e6_8d
368 488 7a_41_2b_f9
367 488 8a_f4_d0_61
366 488 8a_ea_e2_15
365 488 2b_c4_81_95
364 488 b2_0a_e5_ca
363 488 7d_9b_61_73
362 488 d6_d8_34_c8
361 488 fa_d8_32_5c
360 488 c3_c4_f6_d7
359 488 21_48_7a_25
358 488 7e_9a_25_f1
357 488 ac_78_d2_45
356 488 a7_e9_27_2a
355 488 a6_0b_29_0a
354 488 94_86_18_11
353 488 d9_73_02_db
352 488 2d_03_3a_3f
351 488 dc_54_30_78
350 488 11_38_33_e8
349 488 53_87_2d_45
348 488 a7_16_27_2a
347 488 f7_6f_4e_12
346 488 5c_32_29_dd
345 488 d1_1c_4c_36
344 488 8e_ce_ec_1d
343 488 0d_b7_83_4e
342 488 9f_09_df_f5
341 488 f0_ab_36_13
340 488 f0_54_c9_13
339 488 0f_ab_c9_13
338 488 0f_ab_c9_13
337 488 5e_30_ae_0b
331 487 db_90_??_86
330 487 bd_a1_??_26
298 487 ??_66_1f_31
296 488 7e_65_da_f1
288 488 c8_b4_31_33
287 488 59_0b_d6_0a
286 488 94_79_e7_11
560 486 ??_27_34_37
558 487 3c_c4_f6_28
557 486 ??_48_7a_da
555 487 53_78_2d_ba
534 486 11_??_33_17
533 486 53_??_2d_45
532 486 a7_??_27_2a
531 486 f7_??_b1_ed
530 486 a3_??_29_dd
529 486 d1_??_b3_36
460 487 4d_0a_e5_35
459 486 82_9b_??_8c
457 486 fa_27_??_5c
455 487 de_b7_85_da
425 486 ??_3b_7e_6a
423 487 d3_00_f9_6b
422 487 e1_6c_fa_fb
421 487 0d_b7_7c_4e
410 486 ac_??_1f_ce
408 486 b6_??_eb_3d
407 486 a4_??_63_a8
406 486 fb_??_0e_08
405 486 26_??_02_24
404 486 d2_??_3a_3f
403 486 8d_??_a8_9f
336 487 38_e0_07_df
335 486 a9_a0_??_e6
333 486 78_bc_??_d0
332 486 15_e3_??_e0
295 486 fd_??_b5_5d
291 486 ff_??_00_00
290 486 00_??_00_ff
289 486 51_??_67_18
285 487 88_17_9a_c3
284 486 e5_??_f4_f3
556 485 ??_9a_25_0e
554 486 a7_16_27_d5
553 485 ??_90_4e_ed
551 485 ??_78_2b_2e
549 486 54_43_aa_bb
548 486 0b_8f_c7_1b
547 486 87_43_ac_d0
546 486 15_e3_3d_1f
545 486 8a_f4_d0_61
536 485 42_??_2c_26
535 485 23_??_30_78
458 485 29_27_??_c8
456 485 3c_c4_??_28
454 486 7e_65_da_f1
453 485 53_87_??_ba
451 485 f7_6f_??_ed
449 485 80_78_??_2e
447 485 05_27_??_5c
445 486 70_2c_1d_c2
444 486 49_2e_14_c2
443 486 0a_73_fb_4f
442 486 cc_90_3f_c4
441 486 2e_e3_4c_36
440 486 8e_ce_13_1d
439 486 5c_2c_e4_a9
427 485 ??_e8_65_3c
426 485 ??_48_f4_0c
424 485 ??_f5_e5_35
420 486 9f_09_20_0a
412 485 38_??_f8_20
411 485 f8_??_87_fe
409 485 70_??_1d_c2
334 485 64_2d_??_fd
294 485 6f_??_e9_19
293 485 00_??_ff_ff
292 485 ff_??_00_ff
283 485 2b_??_7e_6a
282 486 b2_f5_e5_35
281 485 7d_??_61_73
552 484 ??_32_d6_dd
550 484 ??_7a_22_2e
544 485 75_ea_e2_15
538 484 7a_??_d4_f9
537 484 24_??_b7_79
452 484 58_16_??_d5
450 484 5c_32_??_dd
448 484 46_85_??_d1
446 484 c3_3b_??_28
438 485 a8_42_ee_c6
437 484 ??_5f_1f_e6
435 484 ??_43_53_d0
433 484 ??_90_b7_79
431 484 ??_30_57_9f
429 484 ??_e8_9c_57
428 484 ??_24_0e_08
419 484 0f_??_c9_13
414 484 f0_??_c9_ec
413 484 a1_??_51_0b
280 484 29_??_34_c8
279 484 ab_??_aa_44
276 485 ea_1c_c2_e0
275 485 8a_f4_d0_9e
274 485 75_15_1d_15
273 485 7a_5f_e6_8d
272 485 7a_41_2b_f9
271 485 8a_f4_2f_9e
270 485 8a_15_e2_15
269 485 2b_3b_7e_6a
268 485 4d_f5_e5_35
267 485 7d_64_9e_73
266 485 d6_d8_34_37
265 485 05_d8_cd_5c
264 485 c3_3b_09_d7
263 485 21_b7_85_25
262 485 7e_65_da_0e
261 485 53_78_d2_45
260 485 58_e9_d8_2a
259 485 59_f4_d6_f5
258 485 94_86_18_11
257 485 26_8c_02_24
256 485 d2_fc_c5_c0
255 485 23_54_30_87
254 485 11_38_33_17
253 485 53_87_d2_45
252 485 a7_16_27_d5
251 485 f7_90_4e_ed
250 485 a3_32_29_22
249 485 d1_1c_b3_36
248 485 71_31_ec_1d
247 485 0d_b7_7c_4e
246 485 60_09_df_f5
245 485 f0_ab_c9_ec
244 485 f0_ab_36_13
243 485 f0_54_36_ec
242 485 f0_ab_36_ec
241 485 5e_30_ae_f4
240 485 38_e0_07_df
239 485 a9_5f_e0_e6
238 485 64_d2_d1_02
237 485 87_bc_53_2f
236 485 ea_e3_c2_1f
235 485 24_90_b7_79
234 485 bd_5e_2c_26
233 485 8d_30_a8_60
232 485 d9_73_02_db
231 485 0a_73_fb_4f
230 485 33_6f_c0_3b
229 485 7f_87_d4_d1
228 485 b9_7a_22_2e
227 485 05_27_32_a3
226 485 3c_3b_09_d7
225 485 8f_d3_1d_c2
224 485 b6_2e_14_3d
223 485 a4_e8_63_a8
222 485 fb_24_0e_08
221 485 26_73_02_24
220 485 d2_fc_c5_c0
219 485 dc_54_cf_78
218 485 11_38_33_e8
217 485 fd_1c_4a_5d
216 485 6f_5d_16_e6
215 485 ff_00_00_ff
214 485 ff_ff_ff_ff
213 485 ae_9b_98_18
543 483 85_??_e6_72
540 483 75_??_1d_15
539 483 85_??_19_72
436 483 ??_2d_d1_02
434 483 ??_e3_c2_e0
432 483 ??_5e_2c_26
430 483 ??_73_02_24
418 483 0f_??_36_13
417 483 0f_??_c9_ec
416 483 f0_??_36_13
415 483 f0_??_36_13
278 483 0b_??_38_e4
277 483 78_??_53_2f
212 484 c8_b4_ce_cc
211 483 f7_6f_??_ed
209 483 2e_e3_??_36
207 484 a3_2c_e4_56
206 484 a8_42_ee_c6
205 484 56_a0_e0_19
204 484 9b_d2_2e_fd
203 484 29_d8_cb_37
542 482 85_??_d4_f9
541 482 8a_??_2f_61
210 482 5c_32_??_22
208 482 8e_ce_??_1d
202 483 22_a8_0c_2c
201 482 d3_ff_??_6b
199 483 f2_48_7c_b1
200 481 1e_93_??_04
198 482 9f_f6_20_f5
197 481 f0_ab_??_ec
195 481 0f_54_??_13
193 482 5e_30_ae_f4
192 482 c7_e0_07_df
191 482 56_5f_1f_19
185 481 ??_30_57_9f
183 481 ??_73_fb_4f
181 481 ??_87_d4_d1
179 481 ??_d8_32_5c
177 482 70_d3_1d_3d
173 481 ??_73_02_24
196 480 0f_54_??_ec
194 480 0f_54_??_ec
190 481 64_d2_d1_02
189 480 ??_43_53_d0
187 480 ??_90_48_86
186 480 ??_a1_d3_d9
184 480 ??_73_fd_24
182 480 ??_90_c0_c4
180 480 ??_85_dd_d1
178 480 ??_3b_09_d7
176 481 b6_d1_eb_c2
175 480 ??_e8_9c_57
174 480 ??_db_f1_f7
166 480 ff_??_00_00
165 480 ae_??_67_e7
162 481 5c_cd_d6_22
188 479 ??_1c_3d_e0
172 479 ??_03_c5_c0
171 479 23_??_30_78
169 479 fd_??_4a_5d
168 479 90_??_16_e6
167 479 ff_??_00_ff
164 479 c8_??_31_33
163 479 08_??_b1_12
161 480 d1_1c_4c_c9
160 479 71_??_13_e2
159 479 a3_??_e4_a9
158 479 a8_??_11_c6
170 478 11_??_33_17
157 478 56_??_1f_19
156 478 64_??_d1_fd
155 478 d6_??_cb_37
150 479 9f_09_df_f5
149 479 f0_ab_36_ec
148 479 0f_ab_36_ec
147 479 f0_ab_c9_13
146 479 f0_54_36_ec
145 479 5e_cf_ae_f4
144 479 38_e0_07_20
143 479 a9_5f_e0_19
142 479 9b_2d_d1_02
141 479 87_bc_53_2f
140 479 15_e3_3d_e0
139 479 24_6f_48_79
138 479 bd_a1_d3_d9
137 479 72_30_57_60
136 479 26_8c_02_24
135 479 0a_8c_04_b0
134 479 33_6f_c0_3b
133 479 80_78_d4_2e
132 479 46_7a_22_2e
131 479 fa_d8_cd_a3
130 479 3c_c4_09_d7
129 479 8f_d3_1d_c2
128 479 49_2e_14_c2
127 479 a4_17_9c_a8
126 479 04_24_0e_f7
125 479 26_8c_fd_24
124 479 d2_03_c5_c0
123 479 dc_ab_cf_78
122 479 11_c7_33_e8
121 479 02_e3_b5_a2
120 479 6f_5d_e9_e6
119 479 00_00_ff_00
118 479 00_00_00_00
117 479 ae_64_98_e7
116 479 c8_4b_31_33
115 479 f7_6f_4e_12
114 479 a3_32_d6_dd
113 479 2e_e3_b3_c9
112 479 71_31_ec_1d
111 479 a3_d3_1b_56
110 479 57_42_ee_c6
109 479 a9_a0_1f_e6
108 479 64_2d_2e_fd
107 479 78_43_53_2f
106 479 15_1c_c2_e0
105 479 75_f4_2f_9e
104 479 8a_15_e2_15
103 479 7a_5f_e6_72
102 479 85_41_2b_f9
101 479 8a_0b_2f_61
100 479 8a_15_1d_ea
99 479 2b_3b_7e_95
98 479 4d_0a_1a_ca
97 479 82_64_61_8c
96 479 29_27_34_c8
95 479 fa_27_32_5c
94 479 c3_3b_f6_28
93 479 de_b7_85_25
92 479 81_65_25_0e
91 479 02_1c_b5_a2
90 479 90_a2_16_19
89 479 51_9b_98_e7
154 477 22_??_f3_2c
153 477 d3_??_f9_6b
152 477 1e_??_05_04
151 477 0d_??_83_b1
88 478 37_4b_31_33
87 477 59_f4_??_f5
85 477 d9_73_??_db
83 477 8d_cf_??_60
81 478 f5_8c_fb_4f
80 478 33_90_3f_3b
79 478 7f_78_2b_2e
86 476 94_79_??_ee
84 476 d2_03_??_3f
82 476 26_8c_??_db
78 477 b9_7a_22_d1
77 476 fa_27_??_5c
75 476 de_48_??_25
73 476 02_e3_??_a2
71 476 ff_ff_??_00
69 476 51_64_??_18
67 477 f7_6f_b1_ed
76 475 3c_3b_??_d7
74 475 7e_65_??_0e
72 475 90_a2_??_e6
70 475 00_00_??_00
68 475 37_b4_??_33
66 476 a3_cd_d6_dd
65 475 ??_1c_4c_c9
63 475 ??_2c_e4_56
61 476 a9_a0_1f_19
64 474 ??_ce_13_e2
62 474 ??_bd_ee_39
60 475 64_d2_2e_fd
59 474 ??_43_ac_d0
57 474 ??_f4_2f_9e
55 474 ??_5f_19_8d
53 474 ??_0b_d0_9e
51 474 ??_c4_81_6a
49 475 82_9b_9e_8c
58 473 ??_e3_3d_e0
56 473 ??_15_e2_15
54 473 ??_be_2b_06
52 473 ??_15_1d_ea
50 473 ??_f5_1a_35
48 473 d6_d8_34_c8
47 470 ??_??_32_5c
45 470 de_??_7a_da
44 470 7e_??_da_0e
43 470 02_??_b5_a2
46 468 ??_??_f6_d7
42 469 6f_??_16_e6
41 469 51_??_98_18
40 469 37_??_ce_33
36 469 2d_??_c5_c0
39 468 a6_??_d6_f5
38 468 94_??_e7_11
37 468 d9_??_fd_db
35 468 72_??_a8_60
34 469 d9_8c_02_24
33 467 f5_??_fb_b0
24 468 6f_a2_e9_e6
23 468 00_00_ff_00
22 468 ff_ff_00_ff
21 468 ae_64_67_18
20 468 37_b4_31_cc
19 468 08_6f_4e_ed
18 468 a3_32_d6_22
17 468 d1_e3_b3_36
16 468 8e_ce_ec_e2
15 468 a3_d3_1b_56
14 468 57_42_ee_39
13 468 56_5f_1f_19
12 468 9b_2d_d1_fd
11 468 78_bc_53_d0
10 468 15_1c_c2_1f
9 468 8a_0b_d0_9e
8 468 75_15_e2_15
7 468 7a_a0_19_8d
6 468 7a_be_d4_f9
5 468 75_0b_2f_9e
4 468 75_ea_1d_ea
3 468 2b_3b_81_6a
2 468 4d_f5_e5_35
1 468 7d_9b_9e_8c
0 468 29_27_34_37
32 466 cc_??_3f_3b
31 466 80_??_2b_2e
30 466 46_??_22_d1
29 466 05_??_cd_5c
28 466 3c_??_09_28
27 466 de_??_85_da
26 466 81_??_25_0e
25 466 fd_??_b5_a2
deque([??_??_??_5e, 99_??_64_5f, ??_??_??_99, 92_??_91_30, ??_??_??_cb, 5f_??_6d_a0, ??_??_??_8c, ab_??_55_44, ??_??_??_46, 99_??_64_a0, ??_??_??_66, 6d_??_91_30, ??_??_??_34, a0_??_92_5f, ??_??_??_73, ab_??_aa_bb, ??_??_??_b9, 66_??_64_a0, ??_??_??_99, 92_??_91_30, ??_??_??_34, a0_??_6d_a0, ??_??_??_73, ab_??_aa_bb, ??_??_??_b9, 99_??_64_5f, ??_??_??_66, 6d_??_6e_30, ??_??_??_cb, 5f_??_92_a0, ??_??_??_8c, ab_??_aa_bb, ??_??_??_46, 66_??_9b_a0, ??_??_??_99, 6d_??_91_30, ??_??_??_34, a0_??_92_5f, ??_??_??_73, 54_??_55_bb, ??_??_??_46, 66_??_64_a0, ??_??_??_66, 6d_??_91_30, ??_??_??_34, 5f_??_92_5f, ??_??_??_73, ab_??_aa_bb, ??_??_??_b9, 99_??_64_5f, ??_??_??_99, 6d_??_6e_cf, ??_??_??_34, a0_??_92_5f, ??_??_??_73, 54_??_55_bb, ??_??_??_46, 99_??_9b_5f, ??_??_??_66, 92_??_6e_cf, ??_??_??_34, a0_??_92_5f, ??_??_??_73, 54_??_aa_bb, ??_??_??_b9, 99_??_9b_a0, ??_??_??_99, 92_??_91_30, ??_??_??_34, a0_??_92_5f, ??_??_??_8c, ab_??_aa_bb, ??_??_??_46, 99_??_9b_a0, ??_??_??_66, 6d_??_6e_30, ??_??_??_cb, 5f_??_6d_5f, ??_??_??_8c, 54_??_55_bb, ??_??_??_46, 99_??_9b_a0, ??_??_??_99, 92_??_6e_cf, ??_??_??_cb, 5f_??_6d_5f, ??_??_??_8c, 54_??_55_bb, ??_??_??_b9, 99_??_64_5f, ??_??_??_99, 6d_??_6e_cf, ??_??_??_34, a0_??_92_5f, ??_??_??_73, 54_??_55_44, ??_??_??_b9, 99_??_64_5f, ??_??_??_99, 92_??_91_cf, ??_??_??_cb, a0_??_6d_a0, ??_??_??_73, ab_??_55_44, ??_??_??_46, 66_??_64_5f, ??_??_??_66, 6d_??_6e_30, ??_??_??_cb, a0_??_6d_a0, ??_??_??_73, 54_??_aa_bb, ??_??_??_46, 66_??_64_5f, ??_??_??_66, 92_??_91_cf, ??_??_??_cb, 5f_??_6d_5f, ??_??_??_8c, 54_??_aa_44, ??_??_??_46, 99_??_64_5f, ??_??_??_99, 6d_??_91_cf, ??_??_??_34, a0_??_6d_5f, ??_??_??_6a])
